module,type,name,res_id,src,value,comments
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span title=""Balance in General Ledger"">Balance in GL</span>","<span title=""Balance in General Ledger"">Balance in GL</span>",
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span title=""Latest Statement"">Latest Statement</span>","<span title=""Latest Statement"">Latest Statement</span>",
account,model_terms,"ir.ui.view,arch_db",account.view_account_position_form,<span> From </span>,<span> From </span>,
account,model_terms,"ir.ui.view,arch_db",account.view_account_position_form,<span> To </span>,<span> To </span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Amount Paid</span>,<span>Amount Paid</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Balance</span>,<span>Balance</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Description</span>,<span>Description</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Disc.%</span>,<span>Disc.%</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Invoice Date</span>,<span>Invoice Date</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Invoice Number</span>,<span>Invoice Number</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Bill</span>,<span>New Bill</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Entry</span>,<span>New Entry</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Invoice</span>,<span>New Invoice</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New</span>,<span>New</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Operations</span>,<span>Operations</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Original Amount</span>,<span>Original Amount</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Quantity</span>,<span>Quantity</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<span>Reference</span>,<span>Reference</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Reporting</span>,<span>Reporting</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Source Document</span>,<span>Source Document</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Taxes</span>,<span>Taxes</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<span>Unit Price</span>,<span>Unit Price</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Upload Bills</span>,<span>Upload Bills</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Upload Invoices</span>,<span>Upload Invoices</span>,
account,model_terms,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>View</span>,<span>View</span>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,"<strong class=""mr16"">Subtotal</strong>","<strong class=""mr16"">Subtotal</strong>",
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,"<strong class=""text-center"">Scan me with your banking app.</strong><br/><br/>","<strong class=""text-center"">Scan me with your banking app.</strong><br/><br/>",
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,"<strong class=""text-center"">The SEPA QR Code informations are not set correctly.</strong><br/>","<strong class=""text-center"">The SEPA QR Code informations are not set correctly.</strong><br/>",
